layer,avg_hs,avg_ply,pct_ply
phys_vents,4.076696729370886e-6,5.899102786963551e-5,14.470300781667166
phys_seamounts_0to200m,6.678349342986494e-7,2.3738844213133e-6,3.5545975500762315
phys_seamounts_gt200to800m,1.5389239790360182e-6,4.154297737298275e-6,2.6994821017088357
nspp_2100_chitons,5.51712563592347e-4,9.810283625225214e-4,1.77815120999744
nspp_chitons,5.373272146290351e-4,9.248513586225854e-4,1.7212069916486414
nspp_2100_bony.fishes,0.09488608265310784,0.15168609220902707,1.598612651800299
bio_vgpm,0.14837797663124264,0.23526889553333238,1.5856052284500144
rls_all_now,0.013280024668815164,0.019619540368555285,1.4773722833984562
nspp_2100_cetaceans,0.006149367348117233,0.009016690038396122,1.4662792980088895
nspp_2100_tunicates,0.003921974856130711,0.005541012619112917,1.4128118670754288
nspp_tunicates,0.0038699581643871364,0.005424303786624743,1.4016440375354184
nspp_bony.fishes,0.12345735226183599,0.1716043357745136,1.3899887907085882
nspp_cetaceans,0.006031064691498768,0.008365236777407982,1.3870248795705014
phys_seamounts_gt800m,9.634825560825125e-5,1.3353099869887312e-4,1.3859202520677245
rls_all_future,0.016110253545761753,0.02201032876448966,1.3662310591182525
nspp_euphausiids,5.640909615977377e-4,7.592098443266448e-4,1.345899679328756
nspp_sharks.n.rays,0.0052861699622325,0.0068883730116451125,1.3030933664372677
nspp_2100_sharks.n.rays,0.0060382377660459586,0.00773333813482464,1.2807276616880707
scapes_hetero,0.00230567018524383,0.0028406989288407526,1.2320491226460224
nspp_2100_pinnipeds,8.304919134838617e-4,0.0010014982424830024,1.2059096858412262
nspp_2100_tunas.n.billfishes,0.004221655069828792,0.005046544924702179,1.1953948963686507
nspp_tunas.n.billfishes,0.004435791749395362,0.005212694823544786,1.1751441722338118
nspp_worms,0.0018404406586772766,0.0021589909368283336,1.173083699628761
nspp_2100_worms,0.0018310906859649383,0.002120470855963198,1.1580370498393768
nspp_crustaceans,0.00879548566530964,0.00989990412118428,1.1255665119472127
nspp_2100_crustaceans,0.009690830761106552,0.01049177111893771,1.0826492978337496
nspp_corals,8.760296378008715e-4,9.47129080689869e-4,1.081161001661406
nspp_2100_cephalopods,9.092006457808985e-4,9.553485951288938e-4,1.0507566174332834
nspp_reptiles,5.443769356166772e-4,5.583976222793147e-4,1.0257554751961613
nspp_2100_sea.spiders,0.0017820589686024441,0.0017927413869313438,1.0059944247172008
nspp_cephalopods,8.878628822922878e-4,8.82455264384424e-4,0.9939093997330957
nspp_sea.spiders,0.0017054298221264078,0.0016930231672094341,0.9927252034906341
nspp_2100_jellyfish,5.509771386806491e-4,5.34611304519113e-4,0.970296709223317
nspp_jellyfish,5.423310916889043e-4,5.258184423025662e-4,0.9695524567199069
nspp_hydrozoans,0.001132642087598814,0.001095512447169612,0.9672185584168814
nspp_2100_reptiles,7.946356010152059e-4,7.517897188554546e-4,0.9460810941455272
nspp_2100_other,0.001983496082027322,0.001755549944579585,0.885078604634926
nspp_pinnipeds,7.002640791072574e-4,6.070535539737539e-4,0.8668923226044459
nspp_other,0.0018351022606827485,0.0015808924975844317,0.8614737889300305
nspp_2100_forams,5.723454427709056e-4,4.908006041065248e-4,0.8575251367957148
nspp_forams,5.735254053147504e-4,4.908006041065248e-4,0.8557608774752946
nspp_2100_sponges,8.106045565283096e-4,6.427424906735815e-4,0.7929174410594796
nspp_2100_euphausiids,9.904055592346785e-4,7.268638424121703e-4,0.73390525288836606
nspp_bivalves,0.0012025833938317004,8.700339156281132e-4,0.7234707547856536
nspp_2100_hydrozoans,0.0015321150340283256,0.0011027214006798301,0.7197379936808603
nspp_echinoderms,0.001277321491037222,8.905696967343914e-4,0.6972165605788274
nspp_2100_echinoderms,0.0015118865691679461,0.0010138748302611419,0.6706024452741314
nspp_sponges,0.001035501159876213,6.536463647781351e-4,0.6312367287510079
nspp_2100_bivalves,0.0012292152210489195,7.52160245549897e-4,0.6119028081250574
nspp_2100_gastropods,0.0019696581800813413,8.128697069247019e-4,0.41269582465884136
nspp_gastropods,0.002062857060768142,7.957656593228716e-4,0.38575899147687626
nspp_2100_corals,0.0025774614525525055,9.493974541809083e-4,0.3683459371393133
nspp_2100_seagrasses,8.093295726392767e-4,NA,NA
nspp_seagrasses,8.559548998205925e-4,NA,NA
